lancersTaskId,lancersResultId,lancersNickname,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
LTI004017242,LRI029914289,mmm07r,1,1,1,4,2,1,1,1,1,2,2,1,2,1,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,4,1,2,1,2,1,2,1,2,1,1,1,4,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,3,1,2,2,2,1,2,2,2,2,1,1,2,1,1,2,4,2,1,1,2
LTI004017242,LRI029914291,kireinatuki500,1,2,1,2,2,1,2,2,1,2,2,2,2,1,2,3,1,2,2,4,2,1,1,5,2,1,1,5,1,2,2,4,1,2,1,3,1,2,1,3,1,2,2,3,2,1,2,3,1,2,1,3,2,1,2,3,1,2,1,2,1,2,1,1,1,2,2,3,1,2,2,4,2,1,2,3,1,2,2,5,1,2,2,5
LTI004017242,LRI029914292,tokumei3578,2,1,1,1,2,2,1,5,2,2,2,1,2,2,2,1,1,2,2,1,2,2,1,1,2,2,1,1,2,1,2,2,1,2,1,1,1,2,1,1,2,2,1,3,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,1,1,2,2,3,2,2,2,1,2,2,2,1,2,2,1,1,2,2,1,3,2,1,1,1
LTI004017242,LRI029914294,uni-7188,1,1,1,3,2,1,1,2,1,2,2,2,2,1,2,4,1,2,2,2,2,2,1,1,2,2,1,1,2,1,2,3,1,1,1,2,1,2,1,2,2,2,1,2,1,1,2,1,1,2,1,2,2,1,2,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,3,2,1,2,3,1,1,2,4,2,1,1,2
LTI004017242,LRI029914295,Lns201407,1,2,1,4,2,1,1,1,1,2,2,1,2,1,2,4,2,2,2,2,2,2,1,1,2,2,1,1,2,2,2,5,1,1,1,1,1,2,1,2,1,2,1,5,2,1,2,1,1,2,1,1,2,1,2,1,1,2,1,1,1,2,2,3,2,2,2,3,2,2,2,4,2,2,1,5,2,2,2,5,2,2,1,4
LTI004017242,LRI029914297,koujikouji44,1,1,1,2,2,1,1,3,2,2,2,2,1,1,2,3,1,2,2,2,2,1,1,2,2,1,1,3,1,1,2,4,1,1,1,2,1,2,1,2,1,2,1,5,1,1,2,1,1,1,1,2,2,1,2,2,1,2,1,2,1,2,2,1,1,2,2,3,1,2,2,4,2,2,2,3,1,1,1,2,2,1,2,4
LTI004017242,LRI029914298,kokou9,1,1,1,4,2,1,1,2,2,2,2,2,2,1,2,5,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,5,1,2,1,2,1,2,1,2,2,1,1,5,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,1,2,2,1,1,2,2,2,1,2,2,2,1,1,1,3,2,1,2,5,2,1,2,5
LTI004017242,LRI029914299,marble00,1,1,1,4,2,1,1,2,1,2,2,2,2,1,2,4,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,5,1,1,1,2,1,2,1,2,1,1,1,5,1,1,2,2,1,2,1,2,1,1,2,2,1,1,1,2,1,2,2,1,2,2,2,3,2,2,2,2,2,2,1,5,2,2,1,5,2,1,1,4
LTI004017242,LRI029914301,kuru_qqsn8fp9k,2,1,1,2,2,1,1,4,1,2,2,2,2,1,2,2,1,2,2,2,2,2,1,3,2,2,1,3,2,1,2,2,1,1,1,2,1,2,1,2,1,2,1,4,1,1,2,2,1,2,1,2,2,1,2,1,1,2,1,2,1,2,2,3,1,2,2,2,1,2,2,2,2,2,1,4,1,1,2,1,2,1,1,2
LTI004017242,LRI029914303,dachoget,1,1,1,3,2,1,1,2,1,2,2,2,2,1,2,4,1,2,2,2,2,1,1,1,2,1,1,1,1,1,2,5,1,1,1,2,1,1,1,2,1,2,1,5,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,1,1,2,2,3,1,2,2,2,1,2,2,3,2,1,1,5,1,1,2,5,2,1,1,4
LTI004017242,LRI029914304,momo_41049,1,1,1,4,2,2,1,2,2,2,2,2,1,1,2,5,1,2,2,3,2,1,1,2,2,1,1,2,2,1,1,5,1,2,1,3,1,1,1,2,2,2,1,5,1,1,2,2,1,2,1,3,1,1,2,1,1,1,1,2,1,2,2,1,1,2,2,3,1,2,2,3,2,2,1,4,1,1,1,5,2,1,1,3
LTI004017242,LRI029914305,kakiagezan,2,1,2,4,2,1,1,4,1,2,2,4,1,1,2,5,1,2,2,3,2,1,1,4,2,1,1,4,1,1,2,5,1,2,1,4,1,2,1,4,1,2,1,5,1,1,2,4,1,2,1,3,1,1,2,4,1,2,1,4,1,2,2,3,1,2,2,4,2,2,2,4,2,2,1,5,1,1,1,5,2,1,1,4
LTI004017242,LRI029914306,dousiyoukana,1,1,1,5,2,1,1,2,2,2,2,2,2,1,2,5,1,2,2,3,2,2,1,2,2,2,1,3,1,1,2,5,1,2,1,2,1,2,1,2,2,2,2,5,2,1,2,2,1,2,1,2,1,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,3,2,2,2,4,1,1,2,5,2,1,2,5
LTI004017242,LRI029914308,yukimnm,1,1,1,4,2,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,5,1,2,1,2,1,2,1,2,1,1,1,5,1,1,2,2,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,3,1,2,2,3,1,2,2,4,2,1,1,4,1,1,1,4,2,1,1,4
LTI004017242,LRI029916111,icantdance44,1,1,1,4,2,1,1,3,1,2,2,2,1,1,2,5,1,2,2,3,2,1,1,2,2,1,1,3,1,1,2,5,1,1,1,4,1,2,1,3,1,1,1,5,1,1,2,2,1,2,1,3,1,1,2,1,1,1,1,4,1,2,2,1,2,2,2,4,1,2,2,4,2,1,2,5,1,1,2,5,2,1,1,5
LTI004017242,LRI029914321,akkun1,1,1,2,4,2,1,1,3,1,2,2,4,2,1,2,4,1,2,2,3,2,1,1,4,2,1,1,4,1,1,2,5,1,1,1,5,1,2,1,4,1,1,1,5,1,1,2,5,1,2,1,4,2,1,2,4,1,2,1,4,1,2,1,3,1,2,2,4,1,2,2,4,1,1,1,5,1,1,1,5,2,1,2,5
LTI004017242,LRI029914332,kitakousa,1,1,1,5,2,1,1,4,2,2,2,2,2,1,2,4,1,2,2,2,2,2,1,2,2,1,1,2,1,1,2,5,1,2,1,1,1,1,1,1,1,1,2,5,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,3,2,2,2,4,2,1,2,5,2,1,1,5
LTI004017242,LRI029914336,rinaria_tia,1,1,1,2,2,1,1,4,1,2,2,1,2,1,1,2,1,2,2,1,2,2,1,1,2,2,1,1,2,1,1,4,1,1,1,1,1,2,1,1,1,2,2,4,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,1,1,2,1,5,1,2,2,3,2,2,2,1,2,1,1,4,1,2,2,3,2,1,1,2
LTI004017242,LRI029914340,ri-chan,2,1,2,3,2,1,1,2,2,2,2,3,2,1,1,4,1,2,1,4,2,2,1,3,2,2,1,3,2,1,2,3,1,1,1,2,1,2,1,3,2,1,1,5,1,1,2,3,1,2,1,3,1,1,2,2,1,1,1,2,1,2,2,4,1,2,2,2,1,2,2,3,2,2,1,4,1,1,1,4,2,1,2,4
LTI004017242,LRI029914347,aladdin,1,1,2,5,2,1,1,4,1,2,2,2,2,1,2,5,1,2,2,4,2,2,1,3,2,2,1,3,2,1,2,4,1,1,1,4,1,2,1,4,1,2,1,5,1,1,2,2,1,2,1,3,2,1,2,2,1,2,1,2,1,2,2,3,2,2,2,4,1,2,2,4,2,1,1,4,2,2,2,5,2,1,1,3
LTI004017242,LRI029914348,motomousimasu,1,1,1,3,2,1,1,3,1,2,2,3,2,1,2,4,1,2,2,3,2,2,1,3,2,1,1,3,2,1,2,5,1,1,1,3,1,1,1,3,1,1,1,5,1,1,2,3,1,2,1,3,2,1,2,3,1,1,1,3,1,2,2,2,1,2,2,3,1,2,2,2,2,1,1,3,1,1,2,5,2,1,1,3
LTI004017242,LRI029914349,fukuneko777,2,1,1,5,2,1,1,4,2,2,2,2,2,1,2,5,2,2,2,2,2,2,1,1,2,2,1,1,2,1,1,5,1,1,1,1,1,2,1,1,2,1,2,5,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,4,2,1,1,5,1,1,2,4,2,1,1,4
LTI004017242,LRI029914350,cubebox,2,1,1,5,2,2,1,2,2,2,2,2,2,2,2,5,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,5,1,2,1,2,1,2,1,1,1,1,1,5,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,1,2,1,4,1,2,2,5,1,2,2,5,2,2,1,5,1,1,2,5,2,1,1,2
LTI004017242,LRI029914353,yy-yamazaki,1,1,2,3,2,2,1,3,2,2,2,2,2,2,2,4,1,2,2,2,2,2,1,2,2,2,1,3,2,1,2,2,1,1,1,1,1,2,1,1,2,2,1,5,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,1,1,2,2,1,2,2,2,2,1,2,1,3,2,1,2,4,1,1,2,5,2,1,1,5
LTI004017242,LRI029914363,MusicTranslation,2,1,1,2,2,1,1,1,1,2,2,1,2,1,1,4,1,2,2,1,2,2,1,1,2,2,1,1,2,1,1,4,1,2,1,1,1,2,1,1,1,2,1,5,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,1,1,2,1,3,1,2,2,1,1,2,2,1,2,1,2,4,2,1,2,5,2,1,1,5
